Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
11,< 17,Wisconsin,Big Ten,,1010, ,6-2,9,,,
12,< 18,Texas,Big 12,,992, ,6-2,10,,,
13,< 15,Marshall,MAC,,921,W 59-3 A Buffalo,7-0,14,,,
14,< 10,Alabama,SEC,,805, ,5-2,13,,,
15,< 9,Michigan,Big Ten,,649, ,5-2,12,,,
16,< 19,BYU,MWC,,634, ,6-1,NR,,,
17,< 20,East Carolina,C-USA,,545,W 52-7 H Tulane,6-1,NR,,,
18,< 16,Purdue,Big Ten,,511, ,5-3,NR,,,
19,< 11,Michigan State,Big Ten,,446, ,6-2,15,,,
20,< 21,Southern Miss,C-USA,,434,W 28-20 H Cincinnati,5-2,NR,,,
21,< 22,Ohio State,Big Ten,,388, ,5-3,NR,,,
22,< 13,Texas A&M,Big 12,,264, ,5-2,NR,,,
23,< 23,Miami (FL),Big East,,244, ,3-3,NR,,,
24,< NR,Oklahoma,Big 12,,174,W 51-6 H #13 Texas A&M,4-2,NR,,,
25,< 25,Mississippi,SEC,,171, ,5-2,NR,,,
NR,< 24,Minnesota,Big Ten,,, ,,,,,
1,< 1,Florida State (55),ACC,,1732,W 35-10 A Virginia,9-0,1,,,
2,< 2,Penn State (9),Big Ten,,1683, ,9-0,2,,,
3,< 3,Virginia Tech (6),Big East,,1607, ,7-0,3,,,
4,< 4,Tennessee,SEC,,1507, ,6-1,5,,,
5,< 5,Florida,SEC,,1470, ,7-1,4,,,
6,< 6,Kansas State,Big 12,,1417, ,8-0,6,,,
7,< 7,Georgia Tech,ACC,,1331, ,6-1,7,,,
8,< 8,Mississippi State,SEC,,1207, ,7-0,12,,,
9,< 8,Nebraska,Big 12,,1155, ,7-1,8,,,
10,< 11,Wisconsin,Big Ten,,1087, ,7-2,10,,,
11,< 12,Texas,Big 12,,996, ,7-2,11,,,
12,< 14,Alabama,SEC,,935, ,6-2,9,,,
13,< 13,Marshall,MAC,,931,W 41-9 H Northern Illinois,8-0,14,,,
14,< 10,Georgia,SEC,,787, ,6-2,NR,,,
15,< 16,BYU,MWC,,734, ,7-1,15,,,
16,< 15,Michigan,Big Ten,,691, ,6-2,13,,,
17,< 18,Purdue,Big Ten,,602, ,6-3,NR,,,
18,< 17,East Carolina,C-USA,,594,W 19-3 A Houston,7-1,NR,,,
19,< 19,Michigan State,Big Ten,,472, ,6-2,NR,,,
20,< 21,Ohio State,Big Ten,,459, ,6-3,NR,,,
21,< 22,Texas A&M,Big 12,,356, ,6-2,NR,,,
22,< 23,Miami (FL),Big East,,302, ,4-3,NR,,,
23,< 25,Mississippi,SEC,,262, ,6-2,NR,,,
24,< NR,Notre Dame,Ind,,112, ,5-3,NR,,,
25,< 20,Southern Miss,C-USA,,111,L 35-14 A Alabama,5-3,NR,,,
NR,< 24,Oklahoma,Big 12,,,L 38-24 A Colorado,4-3,,,,
1,< 1,Florida State (66),ACC,,1746,DNP,9-0,1,,,
2,< 3,Virginia Tech (4),Big East,,1656, ,8-0,3,,,
3,< 4,Tennessee,SEC,,1599, ,7-1,2,,,
4,< 5,Florida,SEC,,1523, ,8-1,4,,,
5,< 6,Kansas State,Big 12,,1495, ,9-0,5,,,
6,< 2,Penn State,Big Ten,,1328, ,9-1,7,,,
7,< 9,Nebraska,Big 12,,1296, ,8-1,6,,,
8,< 8,Mississippi State,SEC,,1288, ,8-0,10,,,
9,< 10,Wisconsin,Big Ten,,1206, ,8-2,8,,,
10,< 11,Texas,Big 12,,1085, ,8-2,11,,,
11,< 12,Alabama,SEC,,1006, ,7-2,9,,,
12,< 13,Marshall,MAC,,947,W 28-16 A Kent State,9-0,NR,,,
13,< 7,Georgia Tech,ACC,,853, ,6-2,15,,,
14,< 14,Georgia,SEC,,825, ,6-2,NR,,,
15,< 15,BYU,MWC,,805, ,8-1,14,,,
16,< 16,Michigan,Big Ten,,749, ,7-2,12,,,
17,< 19,Michigan State,Big Ten,,680, ,7-2,13,,,
18,< 23,Mississippi,SEC,,508, ,7-2,NR,,,
19,< 22,Miami (FL),Big East,,486, ,5-3,NR,,,
20,< NR,Minnesota,Big Ten,,357, ,6-3,NR,,,
21,< 25,Southern Miss,C-USA,,310,W 20-5 A Memphis,6-3,NR,,,
22,< 17,Purdue,Big Ten,,288, ,6-4,NR,,,
23,< NR,Washington,Pac-10,,213, ,6-3,NR,,,
24,< 18,East Carolina,C-USA,,99,L 36-17 A UAB,7-2,NR,,,
25,< 20,Ohio State,Big Ten,,89, ,6-4,NR,,,
NR,< 24,Notre Dame,Ind,,, ,,,,,
NR,< 21,Texas A&M,Big 12,,, ,,,,,
1,< 1,Florida State (63),ACC,,1719,W 49-10 H Maryland,10-0,1,,,
2,< 2,Virginia Tech (6),Big East,,1658, ,9-0,2,,,
3,< 4,Florida,SEC,,1565, ,9-1,4,,,
4,< 7,Nebraska,Big 12,,1534, ,9-1,3,,,
5,< 9,Wisconsin,Big Ten,,1424, ,9-2,7,,,
6,< 10,Texas,Big 12,,1277, ,9-2,9,,,
7,< 3,Tennessee,SEC,,1263, ,7-2,5,,,
8,< 11,Alabama,SEC,,1250, ,8-2,6,,,
9,< 5,Kansas State,Big 12,,1136, ,9-1,8,,,
10,< 16,Michigan,Big Ten,,1045, ,8-2,10,,,
11,< 12,Marshall,MAC,,1002,W 31-17 A Western Michigan,10-0,14,,,
12,< 8,Mississippi State,SEC,,945, ,8-1,15,,,
13,< 6,Penn State,Big Ten,,923, ,9-2,11,,,
14,< 13,Georgia Tech,ACC,,898, ,7-2,13,,,
15,< 17,Michigan State,Big Ten,,844, ,8-2,12,,,
16,< 18,Mississippi,SEC,,639, ,7-2,NR,,,
17,< 20,Minnesota,Big Ten,,580, ,7-3,NR,,,
18,< 21,Southern Miss,C-USA,,445,W 48-0 H Louisiana-Lafayette,7-3,NR,,,
19,< 15,BYU,MWC,,357, ,8-2,NR,,,
19,< 22,Purdue,Big Ten,,357, ,6-4,NR,,,
21,< 14,Georgia,SEC,,338, ,6-3,NR,,,
22,< NR,Arkansas,SEC,,234, ,6-3,NR,,,
23,< 24,East Carolina,C-USA,,232,W 48-34 H Cincinnati,8-2,NR,,,
24,< NR,Texas A&M,Big 12,,172, ,7-3,NR,,,
25,< NR,Boston College,Big East,,164, ,7-2,NR,,,
NR,< 19,Miami (FL),Big East,,, ,,,,,
NR,< 25,Ohio State,Big Ten,,, ,,,,,
NR,< 23,Washington,Pac-10,,, ,,,,,
1,< 1,Florida State (66),ACC,,1746,W 30-23 A #3 Florida,11-0,1,,,
2,< 2,Virginia Tech (4),Big East,,1681, ,10-0,2,,,
3,< 4,Nebraska,Big 12,,1607, ,9-1,3,,,
4,< 5,Wisconsin,Big Ten,,1474, ,9-2,7,,,
5,< 3,Florida,SEC,,1380, ,9-2,5,,,
6,< 7,Tennessee,SEC,,1339, ,8-2,4,,,
7,< 6,Texas,Big 12,,1326, ,9-2,9,,,
8,< 8,Alabama,SEC,,1303, ,9-2,8,,,
9,< 9,Kansas State,Big 12,,1253, ,10-1,6,,,
10,< 10,Michigan,Big Ten,,1125, ,9-2,10,,,
11,< 15,Michigan State,Big Ten,,1071, ,9-2,11,,,
12,< 11,Marshall,MAC,,1021,DNP,10-0,13,,,
13,< 17,Minnesota,Big Ten,,826, ,8-3,14,,,
14,< 18,Southern Miss,C-USA,,642,W 30-27 A Louisville,8-3,15,,,
15,< 13,Penn State,Big Ten,,616, ,9-3,12,,,
16,< 21,Georgia,SEC,,591, ,7-3,NR,,,
17,< 22,Arkansas,SEC,,583, ,7-3,NR,,,
18,< 12,Mississippi State,SEC,,576, ,8-2,NR,,,
19,< 19,Purdue,Big Ten,,452, ,7-4,NR,,,
20,< 14,Georgia Tech,ACC,,415, ,7-3,NR,,,
21,< 23,East Carolina,C-USA,,382,W 23-6 H NC State,9-2,NR,,,
22,< 25,Boston College,Big East,,379, ,8-2,NR,,,
23,< 16,Mississippi,SEC,,266, ,7-3,NR,,,
24,< 24,Texas A&M,Big 12,,225, ,7-3,NR,,,
25,< NR,Louisiana Tech,Ind,,131,DNP,8-2,NR,,,
NR,< 19,BYU,MWC,,, ,,,,,
1,< 1,Florida State (64),ACC,,1744,DNP,11-0,1,,,
2,< 2,Virginia Tech (6),Big East,,1685, ,11-0,2,,,
3,< 3,Nebraska,Big 12,,1599, ,10-1,3,,,
4,< 4,Wisconsin,Big Ten,,1488, ,9-2,8,,,
5,< 5,Florida,SEC,,1428, ,9-2,4,,,
6,< 6,Tennessee,SEC,,1385, ,9-2,5,,,
7,< 8,Alabama,SEC,,1320, ,9-2,7,,,
8,< 9,Kansas State,Big 12,,1299, ,10-1,6,,,
9,< 10,Michigan,Big Ten,,1175, ,9-2,9,,,
10,< 11,Michigan State,Big Ten,,1132, ,9-2,10,,,
11,< 12,Marshall,MAC,,1042,W 34-3 H Ohio,11-0,12,,,
12,< 7,Texas,Big 12,,957, ,9-3,11,,,
13,< 13,Minnesota,Big Ten,,871, ,8-3,14,,,
14,< 15,Penn State,Big Ten,,717, ,9-3,13,,,
15,< 14,Southern Miss,C-USA,,707,DNP,8-3,NR,,,
16,< 18,Mississippi State,SEC,,685, ,9-2,NR,,,
17,< 20,Georgia Tech,ACC,,652, ,8-3,NR,,,
18,< 24,Texas A&M,Big 12,,581, ,8-3,15,,,
19,< 19,Purdue,Big Ten,,485, ,7-4,NR,,,
20,< 21,East Carolina,C-USA,,432,DNP,9-2,NR,,,
21,< 16,Georgia,SEC,,316, ,7-4,NR,,,
22,< NR,Stanford,Pac-10,,267, ,8-3,NR,,,
23,< NR,Miami (FL),Big East,,140, ,7-4,NR,,,
24,< 17,Arkansas,SEC,,134, ,7-4,NR,,,
25,< 22,Boston College,Big East,,114, ,8-3,NR,,,
NR,< 25,Louisiana Tech,Ind,,, ,,,,,
NR,< 23,Mississippi,SEC,,, ,,,,,
1,< 1,Florida State (64),ACC,,1744,DNP,11-0,1,,,
2,< 2,Virginia Tech (6),Big East,,1685, ,11-0,2,,,
3,< 3,Nebraska,Big 12,,1606, ,11-1,3,,,
4,< 4,Wisconsin,Big Ten,,1482, ,9-2,7,,,
5,< 7,Alabama,SEC,,1450, ,10-2,4,,,
6,< 6,Tennessee,SEC,,1412, ,9-2,5,,,
7,< 8,Kansas State,Big 12,,1336, ,10-1,6,,,
8,< 9,Michigan,Big Ten,,1226, ,9-2,8,,,
9,< 10,Michigan State,Big Ten,,1193, ,9-2,9,,,
10,< 5,Florida,SEC,,1095, ,9-3,10,,,
11,< 11,Marshall,MAC,,1047,W 34-30 H Western Michigan (MAC),12-0,12,,,
12,< 13,Minnesota,Big Ten,,935, ,8-3,13,,,
13,< 14,Penn State,Big Ten,,772, ,9-3,11,,,
14,< 12,Texas,Big 12,,746, ,9-4,15,,,
15,< 16,Mississippi State,SEC,,727, ,9-2,NR,,,
16,< 15,Southern Miss,C-USA,,722,DNP,8-3,NR,,,
17,< 17,Georgia Tech,ACC,,672, ,8-3,NR,,,
18,< 18,Texas A&M,Big 12,,632, ,8-3,14,,,
19,< 19,Purdue,Big Ten,,504, ,7-4,NR,,,
20,< 20,East Carolina,C-USA,,431,DNP,9-2,NR,,,
21,< 21,Georgia,SEC,,298, ,7-4,NR,,,
22,< 22,Stanford,Pac-10,,270, ,8-3,NR,,,
23,< 23,Miami (FL),Big East,,224, ,8-4,NR,,,
24,< 24,Arkansas,SEC,,121, ,7-4,NR,,,
25,< 25,Boston College,Big East,,112, ,8-3,NR,,,
1,< 1,Florida State (70),ACC,,1750,W 46-29 N #2 Virginia Tech (BCS NC/Sugar),12-0,,,,
2,< 2,Virginia Tech,Big East,,1647,L 46-29 N #1 Florida State (BCS/Sugar),11-1,,,,
3,< 3,Nebraska,Big 12,,1634, ,12-1,,,,
4,< 4,Wisconsin,Big Ten,,1519, ,10-2,,,,
5,< 8,Michigan,Big Ten,,1406, ,10-2,,,,
6,< 7,Kansas State,Big 12,,1402, ,11-1,,,,
7,< 9,Michigan State,Big Ten,,1357, ,10-2,,,,
8,< 5,Alabama,SEC,,1236, ,10-3,,,,
9,< 6,Tennessee,SEC,,1168, ,9-3,,,,
10,< 11,Marshall,MAC,,1136,W 21-3 N BYU (Motor City),13-0,,,,
11,< 13,Penn State,Big Ten,,1038, ,10-3,,,,
12,< 10,Florida,SEC,,941, ,9-4,,,,
13,< 15,Mississippi State,SEC,,923, ,10-2,,,,
14,< 16,Southern Miss,C-USA,,788,W 23-17 N Colorado State,9-3,,,,
15,< 23,Miami (FL),Big East,,678, ,9-4,,,,
16,< 21,Georgia,SEC,,640, ,8-4,,,,
17,< 24,Arkansas,SEC,,575, ,8-4,,,,
18,< 12,Minnesota,Big Ten,,452, ,8-4,,,,
19,< NR,Oregon,Pac-10,,358, ,9-3,,,,
20,< 17,Georgia Tech,ACC,,345, ,8-4,,,,
21,< 14,Texas,Big 12,,340, ,9-5,,,,
22,< NR,Mississippi,SEC,,281, ,8-4,,,,
23,< 18,Texas A&M,Big 12,,272, ,8-4,,,,
24,< NR,Illinois,Big Ten,,201, ,8-4,,,,
25,< 19,Purdue,Big Ten,,198, ,7-5,,,,
NR,< 25,Boston College,Big East,,, ,,,,,
NR,< 20,East Carolina,C-USA,,, ,,,,,
NR,< 22,Stanford,Pac-10,,, ,,,,,
1,< 3,Nebraska (36),Big 12,,1732,DNP,0-0,,,,
2,< 1,Florida State (29),ACC,,1720,DNP,0-0,,,,
3,< 8,Alabama (3),SEC,,1570,DNP,0-0,,,,
4,< 4,Wisconsin (1),Big Ten,,1408,DNP,0-0,,,,
5,< 15,Miami (FL),Big East,,1392,DNP,0-0,,,,
6,< 5,Michigan,Big Ten,,1380,DNP,0-0,,,,
7,< 21,Texas (2),Big 12,,1297,DNP,0-0,,,,
8,< 6,Kansas State,Big 12,,1276,DNP,0-0,,,,
9,< 12,Florida,SEC,,1255,DNP,0-0,,,,
10,< 16,Georgia,SEC,,1226,DNP,0-0,,,,
11,< 2,Virginia Tech,Big East,,1044,DNP,0-0,,,,
12,< 9,Tennessee,SEC,,940,DNP,0-0,,,,
13,< NR,Washington,Pac-10,,816,DNP,0-0,,,,
14,< 25,Purdue,Big Ten,,751,DNP,0-0,,,,
15,< NR,USC,Pac-10,,723,DNP,0-0,,,,
16,< NR,Ohio State,Big Ten,,601,DNP,0-0,,,,
17,< NR,Clemson,ACC,,599,DNP,0-0,,,,
18,< 22,Mississippi,SEC,,541,DNP,0-0,,,,
19,< NR,Oklahoma,Big 12,,455,DNP,0-0,,,,
20,< NR,TCU,WAC,,404,DNP,0-0,,,,
21,< 24,Illinois,Big Ten,,361,DNP,0-0,,,,
22,< 11,Penn State,Big Ten,,359,DNP,0-0,,,,
23,< 14,Southern Miss,C-USA,,224,DNP,0-0,,,,
24,< NR,Colorado,Big 12,,166,DNP,0-0,,,,
25,< 7,Michigan State,Big Ten,,145,DNP,0-0,,,,
RV,< 23,Texas A&M,Big 12,,139,DNP,0-0,,,,
RV,< NR,UCLA,Pac-10,,115,DNP,0-0,,,,
RV,< NR,East Carolina,C-USA,,75,DNP,0-0,,,,
RV,< 19,Oregon,Pac-10,,63,DNP,0-0,,,,
RV,< NR,Auburn,SEC,,36,DNP,0-0,,,,
RV,< NR,Colorado State,MWC,,35,DNP,0-0,,,,
RV,< 13,Mississippi State,SEC,,34,DNP,0-0,,,,
RV,< NR,Utah,MWC,,33,DNP,0-0,,,,
RV,< NR,Notre Dame,Ind,,32,DNP,0-0,,,,
RV,< NR,Virginia,ACC,,26,DNP,0-0,,,,
RV,< 10,Marshall,MAC,,23,DNP,0-0,,,,
RV,< 17,Arkansas,SEC,,22,DNP,0-0,,,,
RV,< 20,Georgia Tech,ACC,,10,DNP,0-0,,,,
RV,< NR,LSU,SEC,,10,DNP,0-0,,,,
RV,< NR,Syracuse,Big East,,9,DNP,0-0,,,,
RV,< NR,BYU,MWC,,7,DNP,0-0,,,,
RV,< 18,Minnesota,Big Ten,,5,DNP,0-0,,,,
RV,< NR,Boston College,Big East,,3,DNP,0-0,,,,
RV,< NR,Kentucky,SEC,,3,DNP,0-0,,,,
RV,< NR,Texas Tech,Big 12,,3,DNP,0-0,,,,
RV,< NR,Toledo,MAC,,3,DNP,0-0,,,,
RV,< NR,Stanford,Pac-10,,2,DNP,0-0,,,,
RV,< NR,Arizona State,Pac-10,,1,DNP,0-0,,,,
RV,< NR,Oregon State,Pac-10,,1,DNP,0-0,,,,
1,< 1,Nebraska (35),Big 12,,1728,DNP,0-0,,,,
2,< 2,Florida State (30),ACC,,1723,W 29-3 N BYU (Pigskin Classic),1-0,,,,
3,< 3,Alabama (3),SEC,,1577,DNP,0-0,,,,
4,< 4,Wisconsin (1),Big Ten,,1442,DNP,0-0,,,,
5,< 5,Miami (FL),Big East,,1404,DNP,0-0,,,,
6,< 6,Michigan,Big Ten,,1381,DNP,0-0,,,,
7,< 7,Texas (2),Big 12,,1308,DNP,0-0,,,,
8,< 8,Kansas State,Big 12,,1256,W 27-7 N Iowa (Eddie Robinson Classic),1-0,,,,
9,< 9,Florida,SEC,,1248,DNP,0-0,,,,
10,< 10,Georgia,SEC,,1230,DNP,0-0,,,,
11,< 11,Virginia Tech,Big East,,1050,DNP,0-0,,,,
12,< 15,USC,Pac-10,,966,W 29-5 N #22 Penn State (Kick-Off Classic),1-0,,,,
13,< 12,Tennessee,SEC,,902,DNP,0-0,,,,
14,< 13,Washington,Pac-10,,785,DNP,0-0,,,,
15,< 14,Purdue,Big Ten,,728,DNP,0-0,,,,
16,< 16,Ohio State,Big Ten,,601,DNP,0-0,,,,
17,< 17,Clemson,ACC,,597,DNP,0-0,,,,
18,< 18,Mississippi,SEC,,545,DNP,0-0,,,,
19,< 19,Oklahoma,Big 12,,469,DNP,0-0,,,,
20,< 20,TCU,WAC,,408,DNP,0-0,,,,
21,< 21,Illinois,Big Ten,,395,DNP,0-0,,,,
22,< 23,Southern Miss,C-USA,,248,DNP,0-0,,,,
23,< 24,Colorado,Big 12,,182,DNP,0-0,,,,
24,< 25,Michigan State,Big Ten,,162,DNP,0-0,,,,
25,< NR,Texas A&M,Big 12,,141,DNP,0-0,,,,
NR,< 22,Penn State,Big Ten,,,L 29-5 N #15 USC (Kick-Off Classic),0-1,,,,
1,< 1,Nebraska (39),Big 12,,1736,W 49-13 H San Jose State,1-0,,,,
2,< 2,Florida State (28),ACC,,1725, ,1-0,,,,
3,< 6,Michigan,Big Ten,,1513, ,1-0,,,,
4,< 5,Miami (FL),Big East,,1493, ,1-0,,,,
5,< 4,Wisconsin (1),Big Ten,,1391, ,1-0,,,,
6,< 7,Texas (2),Big 12,,1345,DNP,0-0,,,,
7,< 8,Kansas State,Big 12,,1334, ,2-0,,,,
8,< 9,Florida,SEC,,1263, ,1-0,,,,
9,< 10,Georgia,SEC,,1245, ,1-0,,,,
10,< 11,Virginia Tech,Big East,,1119, ,1-0,,,,
11,< 12,USC,Pac-10,,964, ,1-0,,,,
12,< 13,Tennessee,SEC,,901, ,1-0,,,,
13,< 3,Alabama,SEC,,824, ,0-1,,,,
14,< 15,Purdue,Big Ten,,805, ,1-0,,,,
15,< 14,Washington,Pac-10,,773, ,1-0,,,,
16,< NR,UCLA (1),Pac-10,,766, ,1-0,,,,
17,< 17,Clemson,ACC,,612, ,1-0,,,,
18,< 16,Ohio State,Big Ten,,591, ,1-0,,,,
19,< 18,Mississippi,SEC,,528, ,1-0,,,,
20,< 19,Oklahoma,Big 12,,487,W 55-14 H UTEP,1-0,,,,
21,< 21,Illinois,Big Ten,,398, ,1-0,,,,
22,< 20,TCU,WAC,,354,DNP,0-0,,,,
23,< NR,Notre Dame,Ind,,166, ,1-0,,,,
24,< 24,Michigan State,Big Ten,,150,DNP,0-0,,,,
25,< 22,Southern Miss,C-USA,,125,L 19-16 A #13 Tennessee,0-1,,,,
NR,< 23,Colorado,Big 12,,, ,,,,,
NR,< 25,Texas A&M,Big 12,,, ,,,,,
1,< 1,Nebraska (41),Big 12,,1740,W 27-24 (1OT) A #23 Notre Dame,2-0,,,,
2,< 2,Florida State (26),ACC,,1720, ,2-0,,,,
3,< 3,Michigan (1),Big Ten,,1590, ,2-0,,,,
4,< 5,Wisconsin (1),Big Ten,,1437, ,2-0,,,,
5,< 6,Texas (2),Big 12,,1427, ,1-0,,,,
6,< 8,Florida,SEC,,1376, ,2-0,,,,
7,< 7,Kansas State,Big 12,,1368, ,2-0,,,,
8,< 10,Virginia Tech,Big East,,1252, ,2-0,,,,
9,< 15,Washington,Pac-10,,1200, ,2-0,,,,
10,< 11,USC,Pac-10,,1040, ,2-0,,,,
11,< 12,Tennessee,SEC,,961, ,1-0,,,,
12,< 4,Miami (FL),Big East,,894, ,1-1,,,,
13,< 14,Purdue,Big Ten,,884, ,2-0,,,,
14,< 16,UCLA,Pac-10,,830, ,2-0,,,,
15,< 13,Alabama,SEC,,800, ,1-1,,,,
16,< 17,Clemson,ACC,,789, ,2-0,,,,
17,< 18,Ohio State,Big Ten,,688, ,2-0,,,,
18,< 20,Oklahoma,Big 12,,552,W 45-7 H Arkansas State,2-0,,,,
19,< 21,Illinois,Big Ten,,494, ,2-0,,,,
20,< 22,TCU,WAC,,430,W 41-10 A Nevada,1-0,,,,
21,< 23,Notre Dame,Ind,,301, ,1-1,,,,
22,< 24,Michigan State,Big Ten,,280, ,1-0,,,,
23,< 9,Georgia,SEC,,261,L 21-10 A South Carolina,1-1,,,,
24,< NR,Auburn,SEC,,193, ,2-0,,,,
25,< 25,Southern Miss,C-USA,,130,DNP,0-1,,,,
NR,< 19,Mississippi,SEC,,, ,,,,,
1,< 1,Nebraska (43),Big 12,,1747,DNP,2-0,,,,
2,< 2,Florida State (26),ACC,,1723, ,3-0,,,,
3,< 6,Florida,SEC,,1545, ,3-0,,,,
4,< 7,Kansas State (1),Big 12,,1459, ,3-0,,,,
5,< 8,Virginia Tech,Big East,,1412, ,3-0,,,,
6,< 14,UCLA (1),Pac-10,,1408, ,3-0,,,,
7,< 4,Wisconsin,Big Ten,,1349, ,3-0,,,,
8,< 9,Washington,Pac-10,,1331, ,3-0,,,,
9,< 10,USC,Pac-10,,1126, ,2-0,,,,
10,< 3,Michigan,Big Ten,,1107, ,2-1,,,,
11,< 16,Clemson,ACC,,1030, ,3-0,,,,
12,< 12,Miami (FL),Big East,,926, ,1-1,,,,
13,< 11,Tennessee,SEC,,889, ,1-1,,,,
14,< 17,Ohio State,Big Ten,,733, ,3-0,,,,
15,< 5,Texas,Big 12,,717, ,1-1,,,,
16,< 21,Notre Dame,Ind,,705, ,2-1,,,,
17,< 18,Oklahoma,Big 12,,629,DNP,2-0,,,,
18,< 20,TCU,WAC,,531,W 41-14 H Northwestern,2-0,,,,
19,< 19,Illinois,Big Ten,,513, ,3-0,,,,
20,< 24,Auburn,SEC,,445, ,3-0,,,,
21,< 13,Purdue,Big Ten,,422, ,2-1,,,,
22,< 25,Southern Miss,C-USA,,380,W 21-0 A Alabama,1-1,,,,
23,< 22,Michigan State,Big Ten,,274, ,2-0,,,,
24,< 23,Georgia,SEC,,194, ,1-1,,,,
25,< NR,Mississippi State,SEC,,128, ,2-0,,,,
NR,< 15,Alabama,SEC,,, ,,,,,
1,< 1,Nebraska (39),Big 12,,1743,W 42-13 H Iowa,3-0,,,,
2,< 2,Florida State (30),ACC,,1732, ,4-0,,,,
3,< 3,Florida (1),SEC,,1603, ,4-0,,,,
4,< 5,Virginia Tech,Big East,,1491, ,3-0,,,,
5,< 4,Kansas State (1),Big 12,,1484, ,4-0,,,,
6,< 8,Washington,Pac-10,,1426, ,3-0,,,,
7,< 11,Clemson,ACC,,1223, ,4-0,,,,
8,< 9,USC,Pac-10,,1181, ,3-0,,,,
9,< 10,Michigan,Big Ten,,1160, ,3-1,,,,
10,< 12,Miami (FL),Big East,,1079, ,2-1,,,,
11,< 13,Tennessee,SEC,,1043, ,2-1,,,,
12,< 14,Ohio State,Big Ten,,995, ,4-0,,,,
13,< 15,Texas,Big 12,,747, ,2-1,,,,
14,< 17,Oklahoma,Big 12,,740,W 42-14 H Rice,3-0,,,,
15,< 6,UCLA,Pac-10,,727, ,3-1,,,,
16,< 18,TCU,WAC,,640,W 52-3 H Arkansas State,3-0,,,,
17,< 7,Wisconsin,Big Ten,,594, ,3-1,,,,
18,< 23,Michigan State,Big Ten,,583, ,3-0,,,,
19,< 20,Auburn,SEC,,545, ,4-0,,,,
20,< NR,Oregon,Pac-10,,457, ,3-1,,,,
21,< 22,Southern Miss,C-USA,,418,W 28-6 A Oklahoma State,2-1,,,,
22,< 21,Purdue,Big Ten,,414, ,3-1,,,,
23,< NR,South Carolina,SEC,,291,W 23-19 H Mississippi State,4-0,,,,
24,< 19,Illinois,Big Ten,,268, ,3-1,,,,
25,< 24,Georgia,SEC,,199, ,2-1,,,,
NR,< 25,Mississippi State,SEC,,, ,,,,,
NR,< 16,Notre Dame,Ind,,, ,,,,,
1,< 2,Florida State (42),ACC,,1745,W 59-7 A Maryland,5-0,,,,
2,< 1,Nebraska (28),Big 12,,1731,W 42-24 H Missouri,4-0,,,,
3,< 4,Virginia Tech,Big East,,1576, ,4-0,,,,
4,< 5,Kansas State (1),Big 12,,1574, ,5-0,,,,
5,< 7,Clemson,ACC,,1451, ,5-0,,,,
6,< 9,Michigan,Big Ten,,1353, ,4-1,,,,
7,< 10,Miami (FL),Big East,,1274, ,3-1,,,,
8,< 12,Ohio State,Big Ten,,1218, ,4-0,,,,
9,< 20,Oregon,Pac-10,,1031, ,4-1,,,,
10,< 14,Oklahoma,Big 12,,1017,W 34-16 H Kansas,4-0,,,,
11,< 13,Texas,Big 12,,999, ,3-1,,,,
12,< 3,Florida,SEC,,940, ,4-1,,,,
13,< 6,Washington,Pac-10,,920, ,3-1,,,,
14,< 16,TCU,WAC,,875,W 24-0 A Navy,4-0,,,,
15,< 19,Auburn,SEC,,869, ,5-0,,,,
16,< 15,UCLA,Pac-10,,831, ,4-1,,,,
17,< 21,Southern Miss,C-USA,,608,W 24-3 H Memphis,3-1,,,,
18,< 8,USC,Pac-10,,514, ,3-1,,,,
19,< 25,Georgia,SEC,,455, ,3-1,,,,
20,< NR,Mississippi State,SEC,,406, ,3-1,,,,
21,< 11,Tennessee,SEC,,364, ,2-2,,,,
22,< NR,Northwestern,Big Ten,,312, ,4-1,,,,
23,< NR,Oregon State,Pac-10,,279, ,4-0,,,,
24,< 17,Wisconsin,Big Ten,,210, ,3-2,,,,
25,< NR,Notre Dame,Ind,,118, ,2-2,,,,
NR,< 24,Illinois,Big Ten,,, ,,,,,
NR,< 18,Michigan State,Big Ten,,, ,,,,,
NR,< 22,Purdue,Big Ten,,, ,,,,,
NR,< 23,South Carolina,SEC,,, ,,,,,
1,< 2,Nebraska (67),Big 12,,1771,W 49-27 A Iowa State,5-0,,,,
2,< 4,Kansas State (3),Big 12,,1640, ,6-0,,,,
3,< 3,Virginia Tech (1),Big East,,1627, ,5-0,,,,
4,< 7,Miami (FL),Big East,,1507, ,4-1,,,,
5,< 5,Clemson,ACC,,1491, ,6-0,,,,
6,< 8,Ohio State,Big Ten,,1377, ,5-0,,,,
7,< 1,Florida State,ACC,,1357,L 27-24 A #7 Miami (FL),5-1,,,,
8,< 10,Oklahoma,Big 12,,1336,W 63-14 N #11 Texas,5-0,,,,
9,< 9,Oregon,Pac-10,,1140, ,4-1,,,,
10,< 12,Florida,SEC,,1068, ,5-1,,,,
11,< 13,Washington,Pac-10,,1035, ,4-1,,,,
12,< 14,TCU,WAC,,982,W 41-21 H Hawaii,5-0,,,,
13,< 16,UCLA,Pac-10,,862, ,4-1,,,,
14,< 19,Georgia,SEC,,785, ,4-1,,,,
15,< 20,Mississippi State,SEC,,776, ,4-1,,,,
